"No.","Time","Source","Destination","Protocol","Length","Info"
"959","8.733501","149.137.44.121","192.168.43.100","UDP","323","8801  >  63805 Len=281"
"960","8.753010","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"961","8.756405","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"962","8.759894","149.137.44.121","192.168.43.100","UDP","318","8801  >  63805 Len=276"
"963","8.760057","149.137.44.121","192.168.43.100","UDP","308","8801  >  63805 Len=266"
"964","8.760126","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"965","8.782255","149.137.44.121","192.168.43.100","UDP","316","8801  >  63805 Len=274"
"966","8.798318","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"967","8.818991","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"968","8.822144","149.137.44.121","192.168.43.100","UDP","315","8801  >  63805 Len=273"
"969","8.822428","149.137.44.121","192.168.43.100","UDP","320","8801  >  63805 Len=278"
"970","8.843885","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"971","8.844176","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"972","8.862321","149.137.44.121","192.168.43.100","UDP","317","8801  >  63805 Len=275"
"973","8.862611","149.137.44.121","192.168.43.100","UDP","316","8801  >  63805 Len=274"
"974","8.872477","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"975","8.881861","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"976","8.882296","149.137.44.121","192.168.43.100","UDP","307","8801  >  63805 Len=265"
"977","8.890843","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"978","8.902870","149.137.44.121","192.168.43.100","UDP","294","8801  >  63805 Len=252"
"979","8.923901","149.137.44.121","192.168.43.100","UDP","287","8801  >  63805 Len=245"
"980","8.923995","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"981","8.941077","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"982","8.944939","149.137.44.121","192.168.43.100","UDP","303","8801  >  63805 Len=261"
"983","8.955186","192.168.43.100","149.137.44.121","UDP","116","63805  >  8801 Len=74"
"984","8.964555","149.137.44.121","192.168.43.100","UDP","312","8801  >  63805 Len=270"
"985","8.965001","192.168.43.100","149.137.44.121","UDP","123","50074  >  8801 Len=81"
"986","8.975242","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"987","8.977041","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"988","8.983900","149.137.44.121","192.168.43.100","UDP","320","8801  >  63805 Len=278"
"989","9.004917","149.137.44.121","192.168.43.100","UDP","304","8801  >  63805 Len=262"
"990","9.025208","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"991","9.028401","149.137.44.121","192.168.43.100","UDP","310","8801  >  63805 Len=268"
"992","9.044351","149.137.44.121","192.168.43.100","UDP","314","8801  >  63805 Len=272"
"993","9.058887","149.137.44.121","192.168.43.100","UDP","123","8801  >  50074 Len=81"
"994","9.059268","149.137.44.121","192.168.43.100","UDP","133","8801  >  50074 Len=91"
"995","9.059638","192.168.43.100","149.137.44.121","WireGuard","151","Transport Data, receiver=0x8D2A1E47, counter=1873780909799243804, datalen=77"
"996","9.062303","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"997","9.065764","149.137.44.121","192.168.43.100","UDP","305","8801  >  63805 Len=263"
"998","9.075876","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"999","9.099238","149.137.44.121","192.168.43.100","UDP","298","8801  >  63805 Len=256"
"1000","9.106901","149.137.44.121","192.168.43.100","UDP","290","8801  >  63805 Len=248"
"1001","9.125960","149.137.44.121","192.168.43.100","UDP","309","8801  >  63805 Len=267"
"1002","9.126441","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1003","9.159846","149.137.44.121","192.168.43.100","UDP","311","8801  >  63805 Len=269"
"1004","9.166843","149.137.44.121","192.168.43.100","UDP","316","8801  >  63805 Len=274"
"1005","9.176823","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1006","9.188822","149.137.44.121","192.168.43.100","UDP","313","8801  >  63805 Len=271"
"1007","9.206857","149.137.44.121","192.168.43.100","UDP","305","8801  >  63805 Len=263"
"1008","9.227359","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1009","9.234212","149.137.44.121","192.168.43.100","UDP","304","8801  >  63805 Len=262"
"1010","9.246950","149.137.44.121","192.168.43.100","UDP","302","8801  >  63805 Len=260"
"1011","9.257496","192.168.43.100","149.137.44.121","UDP","116","63805  >  8801 Len=74"
"1012","9.274921","149.137.44.121","192.168.43.100","UDP","307","8801  >  63805 Len=265"
"1013","9.286285","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1014","9.298807","149.137.44.121","192.168.43.100","UDP","310","8801  >  63805 Len=268"
"1015","9.325925","149.137.44.121","192.168.43.100","UDP","308","8801  >  63805 Len=266"
"1016","9.326125","149.137.44.121","192.168.43.100","UDP","310","8801  >  63805 Len=268"
"1017","9.336726","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1018","9.339856","149.137.44.121","192.168.43.100","UDP","300","8801  >  63805 Len=258"
"1019","9.359803","149.137.44.121","192.168.43.100","UDP","299","8801  >  63805 Len=257"
"1020","9.386928","149.137.44.121","192.168.43.100","UDP","302","8801  >  63805 Len=260"
"1021","9.397256","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1022","9.400041","149.137.44.121","192.168.43.100","UDP","309","8801  >  63805 Len=267"
"1023","9.449934","149.137.44.121","192.168.43.100","UDP","301","8801  >  63805 Len=259"
"1024","9.450333","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1025","9.459836","149.137.44.121","192.168.43.100","UDP","286","8801  >  63805 Len=244"
"1026","9.460126","149.137.44.121","192.168.43.100","UDP","275","8801  >  63805 Len=233"
"1027","9.497907","149.137.44.121","192.168.43.100","UDP","304","8801  >  63805 Len=262"
"1028","9.509054","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"1029","9.858894","149.137.44.121","192.168.43.100","UDP","317","8801  >  63805 Len=275"
"1030","9.859217","149.137.44.121","192.168.43.100","UDP","106","8801  >  63805 Len=64"
"1031","9.859217","149.137.44.121","192.168.43.100","UDP","332","8801  >  63805 Len=290"
"1032","9.859519","192.168.43.100","149.137.44.121","UDP","116","63805  >  8801 Len=74"
"1033","9.867607","149.137.44.121","192.168.43.100","UDP","302","8801  >  63805 Len=260"
