No.;Time;;;time 2;time 1;delay;;;delay2;delay 1;jitter
72;0,626913;0,626913;;0,64439;0,626913;0,017477;;;0,006154;0,017477;-0,011323
73;0,64439;0,64439;;0,650544;0,64439;0,006154;;;0,028518;0,006154;0,022364
74;0,650544;0,650544;;0,679062;0,650544;0,028518;;;0,006861;0,028518;-0,021657
75;0,679062;0,679062;;0,685923;0,679062;0,006861;;;0,000372;0,006861;-0,006489
76;0,685923;0,685923;;0,686295;0,685923;0,000372;;;6E-06;0,000372;-0,000366
77;0,686295;0,686295;;0,686301;0,686295;6E-06;;;-6E-06;6E-06;-1,2E-05
78;0,686301;0,686301;;0,686295;0,686301;-6E-06;;;0,000327;-6E-06;0,000333
79;0,686295;0,686295;;0,686622;0,686295;0,000327;;;0,019267;0,000327;0,01894
80;0,686622;0,686622;;0,705889;0,686622;0,019267;;;0,000596;0,019267;-0,018671
81;0,705889;0,705889;;0,706485;0,705889;0,000596;;;0;0,000596;-0,000596
82;0,706485;0,706485;;0,706485;0,706485;0;;;0,019417;0;0,019417
83;0,706485;0,706485;;0,725902;0,706485;0,019417;;;0,000377;0,019417;-0,01904
84;0,725902;0,725902;;0,726279;0,725902;0,000377;;;0,003133;0,000377;0,002756
85;0,726279;0,726279;;0,729412;0,726279;0,003133;;;0,010877;0,003133;0,007744
86;0,729412;0,729412;;0,740289;0,729412;0,010877;;;0,017487;0,010877;0,00661
87;0,740289;0,740289;;0,757776;0,740289;0,017487;;;0,011;0,017487;-0,006487
88;0,757776;0,757776;;0,768776;0,757776;0,011;;;0,021426;0,011;0,010426
89;0,768776;0,768776;;0,790202;0,768776;0,021426;;;0,053131;0,021426;0,031705
90;0,790202;0,790202;;0,843333;0,790202;0,053131;;;0,051818;0,053131;-0,001313
91;0,843333;0,843333;;0,895151;0,843333;0,051818;;;0,010034;0,051818;-0,041784
92;0,895151;0,895151;;0,905185;0,895151;0,010034;;;0,041754;0,010034;0,03172
93;0,905185;0,905185;;0,946939;0,905185;0,041754;;;0,038981;0,041754;-0,002773
